id_Controlador,indexControl,fechaHora,includedVars,PowerFail,TimeOn,EnergySaving,ActiveEnergy,AparentEnergy,PowerFactor,OverVoltageEvents,UnderVoltageEvents,driverFailure,lampFailure
1,1,2023-01-01T00:00:00+00:00Z,1023,1,37,1.24,2.89,1.8,1.0,1,0,0,0
1,2,2023-01-01T00:00:00+00:00Z,1023,0,0,0.63,9.63,9.86,0.7,1,1,0,0
1,1,2023-01-01T01:04:00+00:00Z,1023,0,25,0.85,5.51,7.61,0.24,1,1,0,1
1,2,2023-01-01T01:04:00+00:00Z,1023,1,17,1.46,5.69,11.49,0.26,1,0,0,1
1,1,2023-01-01T02:07:00+00:00Z,1023,0,15,1.56,8.1,1.44,0.9,1,1,1,0
1,2,2023-01-01T02:07:00+00:00Z,1023,0,2,1.14,7.63,5.03,0.15,1,1,0,0
1,1,2023-01-01T03:10:00+00:00Z,895,0,53,,3.41,9.77,0.12,1,0,1,1
1,2,2023-01-01T03:10:00+00:00Z,1023,0,26,1.65,2.57,9.75,0.03,0,0,1,1
1,1,2023-01-01T04:07:00+00:00Z,1023,0,21,1.77,3.44,7.42,0.35,1,1,0,0
1,2,2023-01-01T04:07:00+00:00Z,991,1,18,1.27,9.95,,0.22,0,0,1,1
1,1,2023-01-01T05:12:00+00:00Z,1023,0,60,0.83,9.64,8.13,0.03,0,0,0,0
1,2,2023-01-01T05:12:00+00:00Z,1023,0,4,1.07,4.61,1.95,0.42,0,1,0,1
1,1,2023-01-01T06:09:00+00:00Z,1017,0,5,1.51,6.93,10.82,0.72,1,,,1
1,2,2023-01-01T06:09:00+00:00Z,1023,1,3,1.82,8.26,6.22,0.79,0,1,1,1
1,1,2023-01-01T07:08:00+00:00Z,1023,0,27,1.88,6.73,6.79,0.82,0,1,0,1
1,2,2023-01-01T07:08:00+00:00Z,511,,54,0.67,8.16,8.28,0.61,1,1,1,0
1,1,2023-01-01T08:07:00+00:00Z,1023,0,30,1.62,1.51,6.47,0.99,0,0,1,0
1,2,2023-01-01T08:07:00+00:00Z,1023,1,7,1.15,5.11,1.79,0.04,0,0,0,0
