id_Controlador,indexControl,fechaHora,includedVars,PowerFail,TimeOn,EnergySaving,ActiveEnergy,AparentEnergy,PowerFactor,OverVoltageEvents,UnderVoltageEvents,driverFailure,lampFailure
1,1,2025-01-01 00:00:00,1023,1,8,1.68,7.87,3.6,0.24,1,0,1,0
1,2,2025-01-01 00:00:00,1023,1,17,1.87,5.93,1.04,0.69,0,1,0,0
1,1,2025-01-01 01:06:00,1023,1,20,0.92,2.7,10.69,0.77,1,0,0,0
1,2,2025-01-01 01:06:00,1023,1,29,1.62,5.12,3.55,0.98,0,1,0,1
1,1,2025-01-01 02:13:00,1022,1,59,1.16,4.03,4.89,0.17,0,0,0,
1,2,2025-01-01 02:13:00,1007,1,37,1.99,8.0,5.75,,0,0,1,1
1,1,2025-01-01 03:10:00,1015,1,43,1.34,1.84,10.83,0.51,,0,0,0
1,2,2025-01-01 03:10:00,895,1,51,,5.07,9.86,0.66,0,0,0,0
1,1,2025-01-01 06:19:00,1023,0,60,0.51,9.98,7.36,0.26,0,0,0,1
1,2,2025-01-01 06:19:00,767,0,,0.64,6.71,3.67,0.19,0,0,0,0
1,1,2025-01-01 07:28:00,1023,0,60,1.55,8.02,4.16,0.15,1,1,0,0
1,2,2025-01-01 07:28:00,991,0,60,1.0,9.6,,0.55,1,0,1,1
1,1,2025-01-01 08:24:00,1023,1,2,1.72,6.52,9.86,0.24,0,1,0,0
1,2,2025-01-01 08:24:00,1023,0,60,1.13,4.52,10.55,0.11,0,0,0,0
1,1,2025-01-01 09:14:00,1023,0,60,1.17,7.77,6.95,0.58,1,0,0,1
1,2,2025-01-01 09:14:00,1023,0,60,1.23,3.83,8.75,0.83,0,1,1,0
1,1,2025-01-01 10:06:00,1019,1,5,1.44,1.78,11.38,0.91,1,,0,1
1,2,2025-01-01 10:06:00,999,1,2,1.77,6.11,7.56,,,0,0,1
1,1,2025-01-01 10:57:00,1023,1,21,0.72,2.62,8.81,0.71,1,0,0,0
1,2,2025-01-01 10:57:00,895,1,32,,2.06,7.24,0.43,1,1,1,0
1,1,2025-01-01 12:03:00,991,1,13,1.05,5.44,,0.13,1,1,1,0
1,2,2025-01-01 12:03:00,1023,0,60,1.85,1.93,8.0,0.03,0,1,0,0
1,1,2025-01-01 13:00:00,1015,1,15,1.7,4.39,11.52,0.62,,0,1,1
1,2,2025-01-01 13:00:00,1023,1,58,1.38,9.57,5.3,0.47,1,1,0,0
1,1,2025-01-01 14:01:00,1023,1,7,1.93,8.34,11.77,0.51,0,1,0,1
1,2,2025-01-01 14:01:00,1023,1,20,1.18,3.59,8.73,0.48,1,1,0,0
1,1,2025-01-01 14:54:00,763,1,,1.72,7.22,9.69,0.13,0,,0,1
1,2,2025-01-01 14:54:00,1006,0,60,1.08,5.26,4.75,,0,0,1,
1,1,2025-01-01 15:52:00,1015,0,60,1.67,3.09,3.14,0.31,,1,0,1
1,2,2025-01-01 15:52:00,1023,1,58,1.74,2.62,8.99,0.72,0,0,0,0
1,1,2025-01-01 16:58:00,1023,0,60,1.55,2.62,11.44,0.77,1,1,0,0
1,2,2025-01-01 16:58:00,1023,0,60,1.85,5.95,6.78,0.5,0,1,1,1
1,1,2025-01-01 17:57:00,991,1,12,1.06,1.94,,0.31,1,0,1,1
1,2,2025-01-01 17:57:00,1023,1,51,1.66,8.73,2.3,0.95,0,1,0,0
1,1,2025-01-01 19:04:00,1023,0,60,1.04,7.46,10.48,0.22,1,1,1,0
1,2,2025-01-01 19:04:00,1019,0,60,1.67,3.66,8.71,0.4,0,,0,0
1,1,2025-01-01 20:03:00,1019,1,56,1.48,6.33,10.3,0.89,0,,1,1
1,2,2025-01-01 20:03:00,1022,1,46,1.73,3.06,8.3,0.73,0,0,0,
1,1,2025-01-01 21:01:00,1023,0,60,1.23,9.05,4.28,0.17,0,1,0,1
1,2,2025-01-01 21:01:00,1023,0,60,0.93,5.33,6.22,0.6,0,1,0,1
1,1,2025-01-01 21:56:00,495,,60,0.58,2.22,8.11,,1,1,1,0
1,2,2025-01-01 21:56:00,1023,0,60,1.09,6.87,8.84,0.92,1,0,0,1
1,1,2025-01-01 22:52:00,1023,0,60,1.71,5.18,5.84,0.71,0,0,1,1
1,2,2025-01-01 22:52:00,1023,1,16,1.07,7.89,6.97,0.26,0,1,0,1
1,1,2025-01-01 23:51:00,1023,0,60,0.97,1.12,3.49,0.89,1,0,0,1
1,2,2025-01-01 23:51:00,763,1,,1.47,8.45,8.9,0.33,0,,0,1
1,1,2025-01-02 00:58:00,1023,0,60,0.53,7.7,10.84,0.59,1,1,0,1
1,2,2025-01-02 00:58:00,1023,0,60,1.24,4.88,3.29,0.68,0,1,1,0
1,1,2025-01-02 02:05:00,991,0,60,1.45,5.93,,0.86,1,0,0,1
1,2,2025-01-02 02:05:00,1007,1,40,0.57,4.6,1.41,,0,1,1,1
1,1,2025-01-02 03:03:00,1023,0,60,0.54,3.99,10.01,0.16,1,0,1,0
1,2,2025-01-02 03:03:00,1023,1,57,1.0,7.71,1.19,0.94,1,1,1,1
1,1,2025-01-02 04:10:00,1007,1,24,1.79,5.52,4.18,,1,0,0,0
1,2,2025-01-02 04:10:00,1023,1,23,0.89,7.87,3.45,0.43,1,0,0,1
1,1,2025-01-02 05:13:00,767,1,,1.27,3.94,5.75,0.59,1,0,0,0
1,2,2025-01-02 05:13:00,1023,1,14,1.53,4.43,8.24,0.76,1,1,0,1
1,1,2025-01-02 06:17:00,1015,1,29,1.81,5.42,4.87,0.33,,0,0,0
1,2,2025-01-02 06:17:00,1023,1,12,0.59,8.37,9.35,0.84,1,1,0,0
1,1,2025-01-02 07:07:00,503,,60,1.06,1.16,11.18,0.13,,1,0,1
1,2,2025-01-02 07:07:00,1023,0,60,1.47,9.81,2.92,0.25,1,0,0,1
1,1,2025-01-02 07:57:00,1023,0,60,1.93,7.31,6.59,0.39,1,0,0,1
1,2,2025-01-02 07:57:00,1023,0,60,0.71,2.31,8.59,0.02,0,1,0,1
1,1,2025-01-02 08:49:00,1023,0,60,1.35,8.22,1.3,0.71,1,1,0,0
1,2,2025-01-02 08:49:00,1021,1,14,1.86,5.17,5.64,0.69,1,1,,0
1,1,2025-01-02 09:52:00,1023,1,11,1.4,3.88,3.93,0.25,0,0,1,1
1,2,2025-01-02 09:52:00,1023,0,60,1.1,3.54,11.54,0.47,0,1,1,0
1,1,2025-01-02 10:52:00,1023,0,60,1.15,2.04,7.91,0.13,0,0,0,0
1,2,2025-01-02 10:52:00,1023,0,60,0.87,5.5,4.21,0.04,0,1,0,1
1,1,2025-01-02 11:49:00,991,1,5,0.86,9.06,,0.84,1,1,1,0
1,2,2025-01-02 11:49:00,767,1,,1.01,3.88,10.68,0.43,0,0,0,1
1,1,2025-01-02 12:51:00,1023,1,48,0.76,9.35,7.11,0.43,0,0,0,0
1,2,2025-01-02 12:51:00,1023,0,60,1.47,8.8,2.25,0.49,1,1,1,1
1,1,2025-01-02 13:47:00,1023,0,60,0.91,5.2,11.05,0.51,0,0,0,0
1,2,2025-01-02 13:47:00,1023,0,60,1.57,6.77,6.71,0.63,0,0,1,1
1,1,2025-01-02 14:53:00,1023,0,60,1.62,8.25,5.86,0.9,1,1,1,1
1,2,2025-01-02 14:53:00,1023,1,11,1.0,4.34,1.24,0.15,0,0,1,0
1,1,2025-01-02 15:49:00,1023,1,57,1.62,6.0,4.61,0.1,1,0,0,1
1,2,2025-01-02 15:49:00,894,0,60,,7.89,1.45,0.04,1,1,0,
1,1,2025-01-02 16:59:00,1023,0,60,1.64,8.74,4.85,0.01,0,1,1,1
