id_Controlador,indexControl,fechaHora,includedVars,PowerFail,TimeOn,EnergySaving,ActiveEnergy,AparentEnergy,PowerFactor,OverVoltageEvents,UnderVoltageEvents,driverFailure,lampFailure
1,1,2025-01-01 00:00:00,1023,1,28,1.92,6.88,10.69,0.05,1,0,1,0
1,2,2025-01-01 00:00:00,1023,0,60,0.94,2.62,7.82,0.47,0,1,1,1
1,1,2025-01-01 00:52:00,1023,0,60,1.37,2.8,2.25,0.96,1,1,1,0
1,2,2025-01-01 00:52:00,1019,0,60,0.94,5.61,10.63,0.46,1,,1,0
1,1,2025-01-01 01:58:00,767,0,,1.4,5.32,3.98,0.77,1,1,1,1
1,2,2025-01-01 01:58:00,1023,1,36,1.59,8.46,8.75,0.02,0,1,1,1
1,1,2025-01-01 03:00:00,1023,1,29,1.84,2.0,9.89,0.96,0,0,0,1
1,2,2025-01-01 03:00:00,1021,1,42,1.57,8.04,2.02,0.08,0,0,,1
1,1,2025-01-01 04:04:00,1015,0,60,1.52,6.32,6.45,0.98,,0,0,1
1,2,2025-01-01 04:04:00,1023,0,60,1.07,7.34,4.5,0.3,0,1,0,0
1,1,2025-01-01 04:58:00,1007,0,60,1.77,8.94,7.42,,0,0,0,0
1,2,2025-01-01 04:58:00,1023,0,60,1.35,8.91,6.95,0.34,0,0,0,1
1,1,2025-01-01 05:53:00,1023,1,48,1.87,5.44,4.23,0.62,1,1,1,0
1,2,2025-01-01 05:53:00,767,1,,1.32,9.12,8.01,0.2,0,0,0,1
1,1,2025-01-01 06:59:00,1023,0,60,1.57,6.85,11.95,0.34,1,1,1,0
1,2,2025-01-01 06:59:00,1023,0,60,1.7,6.29,11.98,0.97,0,1,0,0
1,1,2025-01-01 07:50:00,1023,0,60,1.71,1.06,10.25,0.49,1,0,1,1
1,2,2025-01-01 07:50:00,1023,0,60,0.53,3.58,6.92,0.76,0,1,0,1
1,1,2025-01-01 08:51:00,1023,0,60,1.22,5.55,10.92,0.27,1,1,1,1
1,2,2025-01-01 08:51:00,511,,60,1.46,6.68,4.7,0.62,0,0,1,0
1,1,2025-01-01 09:42:00,1023,1,47,1.44,8.82,1.89,0.75,0,0,0,1
1,2,2025-01-01 09:42:00,1022,1,41,1.15,1.82,4.78,0.07,1,0,0,
1,1,2025-01-01 10:37:00,1023,0,60,1.92,8.08,6.78,0.37,0,1,1,0
1,2,2025-01-01 10:37:00,1023,0,60,1.78,2.93,10.28,0.01,1,0,1,0
1,1,2025-01-01 11:27:00,1021,0,60,1.12,9.6,7.94,0.73,1,1,,1
1,2,2025-01-01 11:27:00,1023,1,45,1.66,5.84,8.36,0.2,0,0,0,1
1,1,2025-01-01 12:28:00,1023,0,60,0.57,3.64,10.05,0.58,1,1,1,0
1,2,2025-01-01 12:28:00,1023,0,60,0.98,6.85,5.09,0.0,0,1,0,0
1,1,2025-01-01 13:34:00,1023,0,60,1.85,8.03,5.24,0.32,1,1,0,0
1,2,2025-01-01 13:34:00,1023,1,57,1.41,3.96,1.75,0.19,1,1,0,0
1,1,2025-01-01 14:38:00,1014,0,60,1.61,2.16,9.24,0.7,,0,1,
1,2,2025-01-01 14:38:00,445,,60,0.67,,6.98,0.93,1,1,,0
1,1,2025-01-01 15:38:00,1023,1,8,0.88,6.3,9.88,0.21,0,0,0,0
1,2,2025-01-01 15:38:00,495,,60,0.56,6.39,10.27,,0,0,0,1
1,1,2025-01-01 16:47:00,1023,1,8,1.4,4.54,5.1,0.74,1,1,1,0
1,2,2025-01-01 16:47:00,1023,0,60,0.75,6.35,11.51,0.28,0,1,1,0
1,1,2025-01-01 17:41:00,1023,1,35,1.57,6.04,2.89,0.44,0,1,0,0
1,2,2025-01-01 17:41:00,1023,1,15,1.49,5.22,6.42,0.47,1,0,0,1
1,1,2025-01-01 18:36:00,1023,1,2,0.6,6.4,9.08,0.02,0,0,0,1
1,2,2025-01-01 18:36:00,1023,1,43,1.64,2.36,4.39,0.87,1,1,1,0
1,1,2025-01-01 19:28:00,1023,1,4,0.6,6.39,10.75,0.09,0,1,0,0
1,2,2025-01-01 19:28:00,1023,0,60,0.54,7.14,2.57,0.54,0,1,1,1
1,1,2025-01-01 20:19:00,895,0,60,,6.67,4.83,0.65,1,0,0,0
1,2,2025-01-01 20:19:00,495,,60,1.28,2.64,5.66,,1,1,1,0
1,1,2025-01-01 21:12:00,1023,1,44,0.93,3.37,6.36,0.03,1,1,0,1
1,2,2025-01-01 21:12:00,767,1,,1.76,6.13,2.31,0.27,1,1,1,0
1,1,2025-01-01 22:09:00,1023,0,60,0.88,7.9,7.64,0.92,1,1,0,1
1,2,2025-01-01 22:09:00,511,,60,1.75,4.92,5.95,0.15,0,1,0,1
1,1,2025-01-01 23:00:00,887,1,10,,2.54,10.87,0.5,,0,1,1
1,2,2025-01-01 23:00:00,1023,0,60,1.68,3.82,3.99,0.16,0,1,0,1
1,1,2025-01-01 23:58:00,1023,1,42,1.97,1.72,4.91,0.35,0,1,1,1
1,2,2025-01-01 23:58:00,1023,0,60,1.11,9.98,10.23,0.21,0,0,1,1
1,1,2025-01-02 01:02:00,991,1,6,1.67,6.26,,0.88,1,1,0,0
1,2,2025-01-02 01:02:00,1022,0,60,1.08,6.85,3.79,0.65,0,1,1,
1,1,2025-01-02 01:58:00,991,0,60,1.83,4.41,,0.1,0,0,0,1
1,2,2025-01-02 01:58:00,1023,0,60,1.04,9.71,3.81,0.76,0,0,1,0
1,1,2025-01-02 02:52:00,991,1,26,1.97,8.29,,0.54,1,0,1,1
1,2,2025-01-02 02:52:00,1023,1,12,1.48,9.0,9.37,0.53,1,0,0,0
1,1,2025-01-02 03:53:00,1023,0,60,0.64,8.66,7.14,0.33,1,1,1,0
1,2,2025-01-02 03:53:00,891,0,60,,2.06,6.25,0.53,0,,0,1
1,1,2025-01-02 04:58:00,1023,0,60,0.92,7.13,11.9,0.83,0,1,0,0
1,2,2025-01-02 04:58:00,1023,0,60,0.53,8.35,2.13,0.66,0,1,0,0
1,1,2025-01-02 05:54:00,1021,0,60,1.42,9.34,8.92,0.71,0,1,,1
1,2,2025-01-02 05:54:00,1023,1,25,1.69,9.85,1.67,0.53,0,0,1,0
1,1,2025-01-02 06:49:00,1023,0,60,0.81,9.07,2.0,0.01,0,0,1,0
1,2,2025-01-02 06:49:00,1023,1,39,1.46,2.82,3.92,0.69,0,1,0,1
1,1,2025-01-02 07:56:00,1023,1,13,1.2,6.21,6.02,0.41,1,1,1,1
1,2,2025-01-02 07:56:00,951,1,24,1.51,,5.95,0.76,,1,0,0
1,1,2025-01-02 08:46:00,1023,0,60,0.5,9.95,5.68,0.43,1,0,0,0
1,2,2025-01-02 08:46:00,1023,0,60,1.02,9.95,9.54,0.36,0,1,1,1
1,1,2025-01-02 09:42:00,1019,1,42,0.72,5.7,3.05,0.99,0,,1,1
1,2,2025-01-02 09:42:00,871,0,60,,9.2,3.57,,,1,0,1
1,1,2025-01-02 10:52:00,991,0,60,0.67,2.14,,0.16,0,1,1,1
1,2,2025-01-02 10:52:00,1021,0,60,0.76,2.78,4.37,0.84,0,1,,1
1,1,2025-01-02 11:56:00,1019,0,60,1.97,1.1,10.55,0.47,1,,1,1
1,2,2025-01-02 11:56:00,1023,1,13,1.34,9.03,11.33,0.73,0,0,0,0
1,1,2025-01-02 12:48:00,1023,0,60,1.55,2.39,7.73,0.01,0,0,1,1
1,2,2025-01-02 12:48:00,1023,0,60,1.01,2.39,6.01,0.72,0,1,1,0
